index,mean,std,5%,50%,95%,pid
temp,1.3584393856227397,2.0036543001823715,-2.9998078465461733,1.6014026999473572,4.099637722969055,t368z3fw1zh3pzt2a59lo0wz
lapse,0.5355976229384541,0.6959569212622831,-0.7326431214809418,0.6046552956104279,1.681451630592346,t368z3fw1zh3pzt2a59lo0wz
aligned_weight,0.6896426803506911,0.5724886519367098,-0.27360001802444456,0.7027857601642609,1.6452548086643217,t368z3fw1zh3pzt2a59lo0wz
orthogonal_weight,0.5407092427611351,0.4511552228917649,-0.23476719260215756,0.5957362949848175,1.029017865657806,t368z3fw1zh3pzt2a59lo0wz
horizon,1.4014469841718673,1.4917100457848398,-1.2586923241615295,1.3889268040657043,4.134745836257935,t368z3fw1zh3pzt2a59lo0wz
n_samples,500.0,0.0,500.0,500.0,500.0,t368z3fw1zh3pzt2a59lo0wz
exploration_constant,3.0,0.0,3.0,3.0,3.0,t368z3fw1zh3pzt2a59lo0wz
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,t368z3fw1zh3pzt2a59lo0wz
temp,1.2098435338139535,2.1075990208944715,-3.15021870136261,1.5834487676620483,4.136824655532837,s826dyrh77xih2l4n6mqr7on
lapse,0.4939647817462683,0.7187926759917304,-0.7978706568479538,0.6019925773143768,1.651119953393936,s826dyrh77xih2l4n6mqr7on
aligned_weight,0.662729572866112,0.5560443495608539,-0.30115079879760737,0.6772560477256775,1.543559825420379,s826dyrh77xih2l4n6mqr7on
orthogonal_weight,0.5723022210597992,0.4337197144534833,-0.19687349796295164,0.6160776019096375,1.1503440141677856,s826dyrh77xih2l4n6mqr7on
horizon,1.4121624686717986,1.4257789421048876,-1.2888163328170776,1.3940632343292236,4.039967727661132,s826dyrh77xih2l4n6mqr7on
n_samples,500.0,0.0,500.0,500.0,500.0,s826dyrh77xih2l4n6mqr7on
exploration_constant,3.0,0.0,3.0,3.0,3.0,s826dyrh77xih2l4n6mqr7on
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,s826dyrh77xih2l4n6mqr7on
temp,1.3078181249201297,1.9792641387247156,-2.7579973578453063,1.5926368832588196,4.04222202301025,xgrjhm9fj3kogholgw8s5e1j
lapse,0.5067351599484682,0.7070162307494835,-0.790670758485794,0.5861848592758179,1.6719145715236658,xgrjhm9fj3kogholgw8s5e1j
aligned_weight,0.6718629751354456,0.6001221666620291,-0.3279038995504379,0.6794281303882599,1.7094652891159055,xgrjhm9fj3kogholgw8s5e1j
orthogonal_weight,0.5682023247480392,0.41584416493945964,-0.1608269363641739,0.6151512563228607,1.0520778775215136,xgrjhm9fj3kogholgw8s5e1j
horizon,1.4483372143507003,1.498446704765105,-1.0538976788520813,1.4149757027626038,4.190368890762327,xgrjhm9fj3kogholgw8s5e1j
n_samples,500.0,0.0,500.0,500.0,500.0,xgrjhm9fj3kogholgw8s5e1j
exploration_constant,3.0,0.0,3.0,3.0,3.0,xgrjhm9fj3kogholgw8s5e1j
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,xgrjhm9fj3kogholgw8s5e1j
temp,1.2879143708348275,2.0824155680331153,-2.630524885654449,1.5627334117889404,4.2313489437103255,0zby3udcj5heepihgo9qvs7e
lapse,0.5178974102586508,0.7034614609051756,-0.7852054864168166,0.6126276850700378,1.6959784090518943,0zby3udcj5heepihgo9qvs7e
aligned_weight,0.6879203179702162,0.567534386429721,-0.25252935886383054,0.6958456933498383,1.6334857583045956,0zby3udcj5heepihgo9qvs7e
orthogonal_weight,0.5529258166551589,0.40231108198405574,-0.137805825471878,0.6139728128910065,1.0370085597038265,0zby3udcj5heepihgo9qvs7e
horizon,1.4537601554393769,1.507971399512552,-1.1317938446998597,1.4122533202171326,4.175882482528686,0zby3udcj5heepihgo9qvs7e
n_samples,500.0,0.0,500.0,500.0,500.0,0zby3udcj5heepihgo9qvs7e
exploration_constant,3.0,0.0,3.0,3.0,3.0,0zby3udcj5heepihgo9qvs7e
discount_factor,0.9000000000000002,2.221557105636704e-16,0.9,0.9,0.9,0zby3udcj5heepihgo9qvs7e
temp,1.3433716959059239,1.8317715207710867,-2.394982326030731,1.6032565236091614,3.858235502243042,zme37vc9wofyob5ygwg77w0v
lapse,0.44959817972779276,0.7297355615961283,-0.8255145967006683,0.5908237993717194,1.5327090740203857,zme37vc9wofyob5ygwg77w0v
aligned_weight,0.6558904403224587,0.5792103645054911,-0.364990535378456,0.6789011657238007,1.5982834637165069,zme37vc9wofyob5ygwg77w0v
orthogonal_weight,0.5353247227966785,0.44207207610132787,-0.2629201054573059,0.5962322950363159,1.070520406961441,zme37vc9wofyob5ygwg77w0v
horizon,1.3955026239156723,1.31237232304741,-0.8320359945297241,1.3958041071891785,3.753939795494079,zme37vc9wofyob5ygwg77w0v
n_samples,500.0,0.0,500.0,500.0,500.0,zme37vc9wofyob5ygwg77w0v
exploration_constant,3.0,0.0,3.0,3.0,3.0,zme37vc9wofyob5ygwg77w0v
